Departments;Actors;Ages
TEFL teacher;Amy Gonzales;35
Orthoptist;Keith Mcdonald;57
Scientist, clinical (histocompatibility and immunogenetics);Jordan Hampton;79
Legal secretary;Mr. Angel Rowe;57
Surveyor, land/geomatics;Daniel Fisher;16
Film/video editor;Matthew Alvarez;19
Financial controller;Brandon Nelson;67
Journalist, newspaper;Judith Hogan;79
Agricultural engineer;Joseph Khan;45
Site engineer;Kimberly White;56
Ceramics designer;Joseph Johnson;29
Animal nutritionist;Sharon Gomez;29
Energy engineer;Michelle Harvey;34
Research officer, government;Samantha Cole;58
Professor Emeritus;Heather Flores;29
Conference centre manager;Annette Moore;36
Air cabin crew;Rebecca Winters;36
Animator;Mary Guerra;39
Interpreter;Anthony Griffin;29
Patent attorney;Alexander Taylor;39
Biochemist, clinical;Debra Floyd;51
Special effects artist;Nicole Jordan;66
Publishing rights manager;Brandon Boyle;32
Immigration officer;James Lozano III;52
Insurance risk surveyor;Kyle Lewis;73
Trade union research officer;Amber Baxter;34
Research scientist (maths);Mark Brown;44
Journalist, magazine;Christopher Smith;65
Librarian, academic;Lisa Ortega;19
Psychotherapist;Mrs. Ashley Hart;63
Veterinary surgeon;Jacqueline Mullen;39
Fisheries officer;Justin Burke;58
Engineer, land;Kelly Walter;31
Education officer, museum;Thomas Schmidt;72
Communications engineer;Tina Madden;17
Youth worker;Samantha Curtis;50
Scientist, marine;Susan Thomas;33
Surveyor, hydrographic;Elizabeth Padilla;79
Textile designer;Anthony Collier;54
Actor;Christopher Baker;74
Learning mentor;Katherine Hawkins;47
Sub;Don Gordon;33
Animal technologist;Andrew Brown;79
Air broker;Angela Soto;50
